section,subsection,item_order,item_type,item_text,rank,feature,current_app_area,value,implementation_effort,privacy_security,pilot_essentiality,potential_time_savings,reason
Meta,Description,1,text,This file ranks the app's current features by pilot essentiality first while also factoring in value implementation effort privacy/security burden and likely time savings.,,,,,,,,,
Ranking Criteria,Pilot Essentiality,1,text,how important the feature is to making the pilot actually useful,,,,,,,,,
Ranking Criteria,Value,2,text,how useful the feature is during real operations,,,,,,,,,
Ranking Criteria,Implementation Effort,3,text,how much implementation/support/maintenance burden it adds,,,,,,,,,
Ranking Criteria,Privacy/Security,4,text,"how much identity, personnel, or sensitive operational data it touches",,,,,,,,,
Ranking Criteria,Potential Time Savings,5,text,rough estimate of the labor/time the feature could save if adopted,,,,,,,,,
Scale,Pilot Essentiality,1,text,High / Medium / Low,,,,,,,,,
Scale,Value,2,text,High / Medium / Low,,,,,,,,,
Scale,Implementation Effort,3,text,Low / Medium / High,,,,,,,,,
Scale,Privacy/Security,4,text,Low / Medium / High,,,,,,,,,
Recommendation Summary,Most pilot-essential,1,bullet,line worker task flow,,,,,,,,,
Recommendation Summary,Most pilot-essential,2,bullet,supervisor job checkoff,,,,,,,,,
Recommendation Summary,Most pilot-essential,3,bullet,reference sheets,,,,,,,,,
Recommendation Summary,Most pilot-essential,4,bullet,find an item,,,,,,,,,
Recommendation Summary,Most pilot-essential,5,bullet,two-minute trainings,,,,,,,,,
Recommendation Summary,Most pilot-essential,6,bullet,pilot mode,,,,,,,,,
Recommendation Summary,High-value but heavier,1,bullet,points workflow,,,,,,,,,
Recommendation Summary,High-value but heavier,2,bullet,daily shift reports,,,,,,,,,
Recommendation Summary,Why,1,text,Those are still valuable but they are not as clean or easy as the first-wave pilot features.,,,,,,,,,
Ranked Features,Feature,1,ranked_feature,Line worker task flow,1,Line worker task flow,Dashboard > Workflow > Line > Employee/Line Worker,High,Low,Low,High,"~1,000+ hrs/yr across line shifts (~$14k+/yr at $14/hr), using a conservative 5 min saved per worker per shift","Most essential pilot feature because it is the core shift tool, already broadly useful, and combines high value with low effort and low rollout risk."
Ranked Features,Feature,2,ranked_feature,Supervisor job checkoff,2,Supervisor job checkoff,Dashboard > Workflow > Line > Supervisor > Jobs/Secondaries/Deep Clean,High,Medium,Low,High,"~150-300 supervisor hrs/yr through faster assignment, checkoff, and fewer in-person follow-ups","Core pilot feature with strong shift value. It speeds supervision immediately and makes the pilot more useful to leadership on day one."
Ranked Features,Feature,3,ranked_feature,Reference sheets,3,Reference sheets,Dashboard > References,High,Low,Low,High,"~100-200 hrs/yr from fewer questions, faster lookups, and less supervisor interruption","High pilot value, very low effort, and broadly useful across many shifts. This is one of the safest high-return pilot features."
Ranked Features,Feature,4,ranked_feature,Find an item / locker lookup,4,Find an item / locker lookup,References > Find an Item,High,Low,Low,High,"~100-180 hrs/yr from faster item lookup for workers plus reduced interruption of supervisors and experienced staff","Very pilot-friendly and highly practical. Even small lookup savings compound quickly across many workers and shifts."
Ranked Features,Feature,5,ranked_feature,Two-minute trainings,5,Two-minute trainings,Dashboard hub > Two-minute Trainings,Medium,Low,Low,High,"~60-120 hrs/yr in prep and repeated explanation time, plus better training consistency","Not as operationally critical as workflows, but very pilot-friendly, low effort, and useful every day."
Ranked Features,Feature,6,ranked_feature,Pilot mode,6,Pilot mode,App profile / config mode,Medium,Low,Low,High,"Indirect savings only, but it removes login/setup friction across every pilot test session","Not a big steady-state labor saver, but highly essential to the pilot itself because it reduces friction and makes rollout/testing practical."
Ranked Features,Feature,7,ranked_feature,Lead trainer task flow,7,Lead trainer task flow,Dashboard > Workflow > Line > Lead Trainer,High,Medium,Low,High,"~100-220 hrs/yr in trainer time through better structure, faster checkoff, and less repeated verbal instruction","Strong pilot feature once stable because it directly helps lead trainers move faster and be more thorough."
Ranked Features,Feature,8,ranked_feature,Kitchen jobs references/recipes,8,Kitchen jobs references/recipes,Dashboard > Workflow > Kitchen Jobs,Medium,Medium,Low,High,"~60-140 hrs/yr plus reduced food waste from fewer mistakes rework and burned product","Good pilot feature because it helps new workers and can save both labor and product waste when cooks need quick answers."
Ranked Features,Feature,9,ranked_feature,Daily shift report drafting,9,Daily shift report drafting,Supervisor flow > Daily Shift Report,High,Medium,Medium,Medium,"~150-250 supervisor hrs/yr from faster end-of-shift reporting and more consistent structure","Very valuable, but slightly less pilot-essential than the core shift flows because it is more process-heavy and touches stored records."
Ranked Features,Feature,10,ranked_feature,Student manager landing-page announcements,10,Student manager landing-page announcements,Home + manager portal,Medium,Medium,Low,Medium,"~40-100 hrs/yr from fewer repeated verbal reminders and cleaner communication","Useful in a pilot, but not as essential as workflows and references."
Ranked Features,Feature,11,ranked_feature,Points assignment,11,Points assignment,Dashboard / Student Manager Portal,High,High,High,Medium,"~80-180 hrs/yr from eliminating handwritten point slips binder handling and delayed manual follow-up","This is genuinely high value, but it ranks lower because it is higher effort, higher sensitivity, and less essential than the core pilot surfaces."
Ranked Features,Feature,12,ranked_feature,Leadership daily shift report viewing,12,Leadership daily shift report viewing,Dashboard > Daily Shift Reports,High,Medium,Medium,Medium,"~60-140 leadership hrs/yr from centralized report review instead of paper texts or verbal handoff","Valuable once reports exist, but secondary to drafting and the core pilot operations."
Ranked Features,Feature,13,ranked_feature,Point approval workflow,13,Point approval workflow,Manager review flow,High,High,High,Medium,"~60-120 hrs/yr by removing manual approval chasing and scattered review steps","High value, but heavier and more sensitive than the simpler pilot features above it."
Ranked Features,Feature,14,ranked_feature,Stored personal point history,14,Stored personal point history,Backend points data,High,High,High,Medium,"~40-100 hrs/yr from eliminating binder lookup and rebuilding old point history by hand","Important long-term value, but not as pilot-essential as the live operational tools."
Ranked Features,Feature,15,ranked_feature,Point acknowledgment by employee initials,15,Point acknowledgment by employee initials,Points confirmation flow,High,High,High,Medium,"~40-100 hrs/yr from reducing signature chasing and long-delayed acknowledgment follow-up","Useful, but it depends on the broader points workflow and carries the same rollout complexity."
Ranked Features,Feature,16,ranked_feature,Dishroom worker flow,16,Dishroom worker flow,Dashboard > Workflow > Dishroom,High,Medium,Low,Medium,"~120-250 hrs/yr once stable through less retraining and cleaner task execution","Potentially very valuable, but still less essential than the line-centered pilot surfaces."
Ranked Features,Feature,17,ranked_feature,Night custodial flow,17,Night custodial flow,Dashboard > Workflow > Night Custodial,High,Medium,Low,Medium,"~100-220 hrs/yr once stable through reduced retraining and missed cleaning steps","High operational value, but less central to the current pilot than line workflows."
Ranked Features,Feature,18,ranked_feature,Dishroom lead trainer flow,18,Dishroom lead trainer flow,Dashboard > Workflow > Dishroom Lead Trainer,Medium,Medium,Low,Medium,"~60-120 hrs/yr once stable through faster training and better checkoff","Useful, but it depends on dishroom maturity and is less essential to the immediate pilot."
Ranked Features,Feature,19,ranked_feature,Home announcements editing,19,Home announcements editing,Manager portal,Medium,Medium,Medium,Low,"~20-60 hrs/yr from faster publishing versus manual relaying","Helpful, but not especially pilot-essential and not a top value/effort win."
Ranked Features,Feature,20,ranked_feature,Aloha + Choices reference,20,Aloha + Choices reference,References > Aloha + Choices,Medium,Low,Low,Low,"~20-60 hrs/yr from quicker leftover and setup lookups","Useful niche reference, but narrower than the top pilot features."
Ranked Features,Feature,21,ranked_feature,Line secondary + checkoff reference,21,Line secondary + checkoff reference,References > Line Secondary + Checkoff,Medium,Low,Low,Low,"~20-50 hrs/yr through faster close/checkoff lookups","Helpful, though more limited in scope than the broader reference and workflow tools."
Ranked Features,Feature,22,ranked_feature,Condiments rotation reference,22,Condiments rotation reference,References > Condiments Rotation,Low,Low,Low,Low,"~10-40 hrs/yr from occasional rotation lookup savings","Good to have, but narrow and not pilot-essential."
Ranked Features,Feature,23,ranked_feature,Dining map,23,Dining map,References > Dining Map,Low,Low,Low,Low,"~10-30 hrs/yr, mostly for newer workers and occasional wayfinding questions","Helpful onboarding aid, but one of the lower-return pilot features."
Ranked Features,Feature,24,ranked_feature,Role selection by actual user capability,24,Role selection by actual user capability,Dashboard routing / auth-based gating,Low,Medium,Medium,Low,Small indirect savings only; mostly governance and UX polish,"Useful later, but not essential to a pilot and not a strong time-savings feature."
Ranked Features,Feature,25,ranked_feature,Login / JWT auth,25,Login / JWT auth,Auth flow,Low,Medium,High,Low,Little to no direct labor savings; mostly governance and access control value,"Important for production hardening, but not for pilot-essential ranking and not a time-savings priority."
Ranked Features,Feature,26,ranked_feature,Profile tab,26,Profile tab,Profile,Low,Low,Medium,Low,Little to no direct labor savings,"Lowest pilot-essentiality and lowest operational return among the current features."
Main Takeaway,Key point,1,text,The first-wave pilot should still center on the features that make the app obviously useful with low rollout friction.,,,,,,,,,
Main Takeaway,Key point,2,text,Points and reporting are still high-value features with real labor-saving potential even though they rank lower than the simplest pilot features.,,,,,,,,,
